Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,0.968372,0.988567,0.947685,0.986104,0.823138,17027514
2019-01-03,0.977041,0.997433,0.970342,0.982755,0.820342,85054766
2019-01-04,0.992508,1.031912,0.987582,1.028465,0.858498,20749832
2019-01-07,1.034375,1.036345,1.016151,1.031912,0.861375,17473848
2019-01-08,1.033390,1.043734,1.021076,1.032898,0.862198,24821013
2019-01-09,1.039301,1.043734,1.025017,1.031420,0.860965,17098763
2019-01-10,1.024524,1.034868,1.012210,1.015658,0.847808,32443960
2019-01-11,1.010732,1.022554,0.998911,1.010732,0.843696,18794765
2019-01-14,1.004329,1.014180,0.994478,1.004329,0.838351,28271937
2019-01-15,1.012210,1.019598,0.996941,1.005807,0.839585,17288683
2019-01-16,1.015165,1.055063,1.013688,1.054078,0.879878,30775543
2019-01-17,1.045212,1.052600,1.015165,1.015165,0.847396,26516203
2019-01-18,1.034375,1.057526,1.029450,1.047182,0.874122,30847678
2019-01-21,1.048167,1.048659,1.028465,1.028465,0.858498,20129481
2019-01-22,1.018613,1.022554,1.000881,1.014180,0.846574,60612108
2019-01-23,1.009255,1.044226,1.003837,1.039793,0.867954,23044915
2019-01-24,1.041764,1.057033,1.018613,1.019106,0.850686,25325616
2019-01-25,1.033390,1.063929,1.027972,1.063929,0.888101,29220015
2019-01-28,1.054570,1.066884,1.030927,1.030927,0.860553,31523292
2019-01-29,1.031420,1.033883,1.006792,1.023539,0.854386,18806646
2019-01-30,1.023046,1.030435,1.004822,1.013195,0.845752,19773508
2019-01-31,1.021076,1.035360,0.978814,0.984528,0.821822,44076810
2019-02-01,0.985119,0.990045,0.878726,0.895079,0.747156,85983752
2019-02-04,0.901187,0.901187,0.846217,0.852128,0.711303,63569751
2019-02-05,0.857054,0.862373,0.829470,0.851143,0.710481,60413889
2019-02-06,0.847202,0.879908,0.846217,0.876165,0.731368,33205782
2019-02-07,0.868284,0.873998,0.843262,0.843262,0.703902,32174065
2019-02-08,0.837942,0.851931,0.819619,0.845232,0.705547,29319602
2019-02-11,0.856857,0.868087,0.847202,0.852916,0.711961,25449148
2019-02-12,0.864935,0.870845,0.851340,0.864935,0.721993,19899679
2019-02-13,0.866905,0.886607,0.860009,0.883652,0.737617,27933453
2019-02-14,0.888775,0.901975,0.869269,0.893700,0.746005,34130924
2019-02-15,0.887789,0.939804,0.877347,0.938425,0.783338,46909640
2019-02-18,0.942759,0.958521,0.924042,0.928967,0.775443,24490370
2019-02-19,0.926012,0.935272,0.909265,0.935272,0.780706,29884584
2019-02-20,0.929953,0.941971,0.925421,0.939410,0.784160,14414343
2019-02-21,0.945714,0.945714,0.928967,0.941183,0.785640,43860603
2019-02-22,0.930938,0.947291,0.927194,0.931726,0.777746,23348569
2019-02-25,0.940789,0.946700,0.933302,0.933302,0.779062,23432044
2019-02-26,0.927982,0.940986,0.918131,0.940986,0.785476,33337608
2019-02-27,0.933105,0.975268,0.933105,0.969948,0.809652,39738390
2019-02-28,0.961870,0.991030,0.951625,0.986597,0.823549,32883379
2019-03-01,0.994970,1.004329,0.982755,0.986104,0.823138,23983806
2019-03-04,0.988567,0.999404,0.984134,0.985612,0.822727,18180148
2019-03-05,0.985119,1.008762,0.973101,0.984725,0.821987,22481923
2019-03-06,0.985119,1.006792,0.978420,0.998418,0.833417,16188514
2019-03-07,0.998418,1.004329,0.916161,0.926012,0.772977,49461988
2019-03-08,0.907295,0.912220,0.887001,0.896458,0.748307,41354811
2019-03-11,0.906310,0.915964,0.889366,0.914191,0.763109,33068358
2019-03-12,0.918328,0.933893,0.916161,0.923648,0.771003,23123787
2019-03-13,0.921086,0.943547,0.918919,0.937636,0.782680,26743552
2019-03-14,0.938819,0.963841,0.936848,0.944335,0.788272,53078400
2019-03-15,0.945911,0.951625,0.932514,0.948079,0.791397,32996574
2019-03-18,0.951625,0.983149,0.950246,0.972707,0.811955,28842195
2019-03-19,0.975268,0.983346,0.963447,0.977041,0.815573,24147457
2019-03-20,0.975268,0.982558,0.946306,0.946306,0.789917,21229480
2019-03-21,0.942365,0.945320,0.908674,0.916555,0.765083,31487107
2019-03-22,0.928179,0.928179,0.893306,0.896458,0.748307,96012579
2019-03-25,0.892715,0.914191,0.877741,0.893503,0.745840,39647009
2019-03-26,0.886804,0.891139,0.857448,0.862964,0.720348,52592902
2019-03-27,0.866905,0.906507,0.862373,0.871830,0.727749,74021842
2019-03-28,0.869860,0.870845,0.843262,0.857054,0.715415,30912348
2019-03-29,0.865132,0.874786,0.852522,0.874589,0.730052,37889824
2019-04-01,0.882864,0.917737,0.877741,0.910841,0.760313,35055219
2019-04-02,0.906310,0.912417,0.890548,0.903354,0.754063,20794526
2019-04-03,0.919313,0.939804,0.915767,0.935075,0.789148,30744657
2019-04-04,0.934287,0.955369,0.926012,0.954778,0.805776,24280588
2019-04-05,0.953595,0.960294,0.932120,0.944729,0.797295,26474222
2019-04-08,0.942365,0.945517,0.921678,0.921678,0.777841,18850037
2019-04-09,0.919313,0.938031,0.916161,0.923254,0.779171,19560054
2019-04-10,0.926997,0.943744,0.914782,0.918328,0.775014,72604050
2019-04-11,0.927982,0.960294,0.919707,0.950837,0.802450,25658630
2019-04-12,0.945714,0.984922,0.926012,0.975268,0.823068,41214913
2019-04-15,0.980194,1.004329,0.971328,0.977632,0.825063,27967545
2019-04-16,0.978026,0.992508,0.967978,0.985119,0.831382,32673472
2019-04-17,0.985119,1.028465,0.983543,1.014673,0.856323,125275087
2019-04-18,1.015658,1.023046,0.985612,1.007284,0.850088,26779413
2019-04-23,1.007284,1.009747,0.971328,0.985612,0.831798,36271555
2019-04-24,0.984922,1.002359,0.955960,0.959900,0.810098,42069405
2019-04-25,0.962462,0.969751,0.948079,0.958127,0.808602,37631804
2019-04-26,0.975268,0.998418,0.958521,0.998418,0.842605,56699995
2019-04-29,0.985119,1.025017,0.985119,1.024524,0.864637,41950724
2019-04-30,1.023046,1.028465,1.008270,1.020584,0.861312,25078010
2019-05-02,1.018613,1.061959,1.009747,1.050137,0.886253,50198079
2019-05-03,1.054078,1.054078,1.020091,1.022554,0.862975,27432725
2019-05-06,1.004329,1.007777,0.990537,1.005807,0.848841,18572851
2019-05-07,1.025509,1.048659,1.005807,1.014673,0.856323,44299952
2019-05-08,1.014673,1.044226,1.008270,1.038808,0.876692,29208963
2019-05-09,1.025017,1.035360,1.009255,1.015658,0.857155,24947453
2019-05-10,1.025509,1.041271,1.021076,1.026002,0.865885,28834102
2019-05-13,1.024524,1.028957,1.010240,1.013195,0.855076,19917019
2019-05-14,1.018121,1.028465,1.006792,1.023539,0.863806,23017598
2019-05-15,1.024524,1.027479,1.000881,1.024524,0.864637,33317106
2019-05-16,1.017628,1.047182,1.012703,1.047182,0.883759,23002768
2019-05-17,1.040286,1.052107,1.033390,1.051122,0.887084,28970440
2019-05-20,1.054078,1.059003,1.028957,1.035360,0.873782,20410043
2019-05-21,1.044226,1.047182,1.015658,1.035853,0.874198,23355603
2019-05-22,1.037331,1.042749,1.007777,1.007777,0.850504,22745291
2019-05-23,1.004329,1.011717,0.986104,1.002851,0.846346,15581995
2019-05-24,1.004822,1.017628,1.001374,1.001374,0.845100,12545187
2019-05-27,1.010732,1.024524,0.997926,1.002851,0.846346,7956421
