iter	RMSE
221	1.341983211
222	1.340311524
223	1.339066049
224	1.337953509
225	1.335732794
226	1.335407584
227	1.333415033
228	1.331970531
229	1.331699245
230	1.33014069
231	1.329845361
232	1.327999576
233	1.32618544
234	1.324244284
235	1.322421042
236	1.322219571
237	1.320465323
238	1.320236025
239	1.318134323
240	1.31651743
241	1.316305745
242	1.312851983
243	1.311186947
244	1.310322312
245	1.307623942
246	1.307450288
247	1.305832842
248	1.305446504
249	1.303357586
250	1.300812979
251	1.299906433
252	1.299125208
253	1.297454497
254	1.296470687
255	1.294779757
256	1.291924876
257	1.290312953
258	1.289583868
259	1.289408805
260	1.286745334
261	1.284544578
262	1.28177436
263	1.280353619
264	1.278450444
265	1.277480825
266	1.276198012
267	1.274601644
268	1.271989418
269	1.270357579
270	1.269254647
271	1.267741825
272	1.265179099
273	1.263881738
274	1.263006506
275	1.262007309
276	1.261238445
277	1.260081647
278	1.258828287
279	1.257134895
280	1.253013119
281	1.249310588
282	1.247714774
283	1.243986364
284	1.243487075
285	1.240946671
286	1.239388371
287	1.237619017
288	1.235384691
289	1.23483676
290	1.232225701
291	1.229805365
292	1.228721796
293	1.227227319
294	1.224855994
295	1.223229307
296	1.222154677
297	1.218889939
298	1.218437445
299	1.217416813
300	1.214532816
301	1.21353135
302	1.209824566
303	1.207799428
304	1.205762544
305	1.204914083
306	1.203874936
307	1.202726411
308	1.201397095
309	1.199621869
310	1.197503309
311	1.196492682
312	1.193883591
313	1.192034535
314	1.189202805
315	1.188596948
316	1.188103086
317	1.186135178
318	1.18474765
319	1.183209284
320	1.180972549
321	1.179473385
322	1.177100303
323	1.176000778
324	1.173565075
325	1.171890805
326	1.171722902
327	1.171323422
328	1.168587596
329	1.166710087
330	1.164994686
331	1.163664669
332	1.161873604
333	1.160744176
334	1.160161495
335	1.15867979
336	1.157658383
337	1.155452657
338	1.153788308
339	1.152155023
340	1.150413945
341	1.149560508
342	1.149341344
343	1.147816171
344	1.144274341
345	1.142720867
346	1.141182559
347	1.139997027
348	1.138723473
349	1.13701021
350	1.136601561
351	1.135415952
352	1.133355152
353	1.131880397
354	1.130800781
355	1.129061554
356	1.127375949
357	1.127063219
358	1.126431962
359	1.125176823
360	1.123996536
361	1.122514793
362	1.122350691
363	1.121707643
364	1.118469282
365	1.117230315
366	1.115637151
367	1.115204342
368	1.113711371
369	1.112588363
370	1.11206265
371	1.1108252
372	1.110649834
373	1.107323077
374	1.104908494
375	1.10365116
376	1.103363467
377	1.10080239
378	1.100630577
379	1.100485295
380	1.099983247
381	1.099281151
382	1.098062204
383	1.097479211
384	1.097062668
385	1.096893327
386	1.09544082
387	1.092815912
388	1.092426567
389	1.092039023
390	1.091748326
391	1.089023802
392	1.087568061
393	1.086979753
394	1.085453053
395	1.084206285
396	1.08268651
397	1.080131124
398	1.078535047
399	1.077506184
400	1.075166205
401	1.073625875
402	1.072052466
403	1.070865118
404	1.069659736
405	1.06894412
406	1.067781247
407	1.066135119
408	1.065207618
409	1.064158136
410	1.063990373
411	1.062928281
412	1.061033164
413	1.059689788
414	1.058297742
415	1.056981626
416	1.056615275
417	1.055050498
418	1.053916879
419	1.05147705
420	1.049612843
421	1.048040521
422	1.04657788
423	1.045984748
424	1.043833963
425	1.042758868
426	1.042576486
427	1.041068382
428	1.039571309
429	1.039209422
430	1.039134637
431	1.037719946
432	1.037308112
433	1.036932778
434	1.035320992
435	1.034697811
436	1.034446275
437	1.033712892
438	1.032741976
439	1.029845793
440	1.029530013
441	1.026663186
442	1.025535653
443	1.02431184
444	1.023872816
445	1.021775047
446	1.020539299
447	1.019112862
448	1.018515422
449	1.017383959
450	1.016780827
451	1.01633056
452	1.014044658
453	1.013914212
454	1.012798
455	1.011937722
456	1.011790118
457	1.010937912
458	1.009912345
459	1.008030933
460	1.006412566
461	1.005123222
462	1.00410124
463	1.002988791
464	1.001954846
465	1.001110947
466	0.9985959699
467	0.9976946255
468	0.9960562641
469	0.9955175529
470	0.9946987604
471	0.9928447312
472	0.9914890453
473	0.989966332
474	0.9874309783
475	0.9872229946
476	0.9862340752
477	0.9857269474
478	0.9853752165
479	0.9829399061
480	0.9824846859
481	0.9803443294
482	0.9797268172
483	0.9788575749
484	0.9778433729
485	0.9770264565
486	0.9760286986
487	0.9759657187
488	0.9743799242
489	0.9730988284
490	0.9710676322
491	0.9701559959
492	0.9693641079
493	0.9685276228
494	0.9667486826
495	0.9654558117
496	0.9646254004
497	0.9637833462
498	0.9635506909
499	0.9626287212
500	0.9618383632
501	0.959820671
502	0.9591690395
503	0.9590049048
504	0.9587293205
505	0.9583429188
506	0.9581766134
507	0.9573458027
508	0.9564723278
509	0.9563397145
510	0.9540406386
511	0.9521053555
512	0.9512155688
513	0.950321458
514	0.9494507295
515	0.9491451477
516	0.9489709194
517	0.9488214033
518	0.9482557444
519	0.9465444563
520	0.9458970046
521	0.9440352234
522	0.9434939916
523	0.9417027173
524	0.9414365733
525	0.9406354904
526	0.9399213048
527	0.9389663405
528	0.9381065041
529	0.9359428802
530	0.9343880767
531	0.9334141883
532	0.9319501291
533	0.9312303535
534	0.9296126438
535	0.9288776227
536	0.9287489655
537	0.9281585776
538	0.9273593818
539	0.9254577775
540	0.924468676
541	0.9222711616
542	0.9215117068
543	0.9205370486
544	0.9199103432
545	0.9195362194
546	0.9184250776
547	0.9183121683
548	0.9164997676
549	0.9157441973
550	0.9152243143
551	0.913385904
552	0.9129405706
553	0.9116171007
554	0.9108486304
555	0.910218948
556	0.9096793415
557	0.908112773
558	0.907878598
559	0.9071632654
560	0.9060681351
561	0.9049989837
562	0.9041234449
563	0.9034349783
564	0.9018334997
565	0.901066508
566	0.8992554676
567	0.8991055674
568	0.8982609882
569	0.8975224079
570	0.8965751427
571	0.8960715689
572	0.8955267591
573	0.895236287
574	0.8946386118
575	0.8934271513
576	0.8929264706
577	0.8919193322
578	0.8916543416
579	0.8906312536
580	0.8893799999
581	0.8880319959
582	0.8878347722
583	0.8871477182
584	0.8868748691
585	0.885534592
586	0.8850571496
587	0.8849354761
588	0.8838202628
589	0.8823954941
590	0.8821765743
591	0.8813488072
592	0.8801609411
593	0.8795303405
594	0.8782873298
595	0.8778692998
596	0.8772373106
597	0.8770224427
598	0.8754233392
599	0.8740600751
600	0.8738804481
601	0.8732372645
602	0.8724849768
603	0.8718228805
604	0.8713067563
605	0.8710835971
606	0.8695007059
607	0.8689043556
608	0.867047472
609	0.8662066353
610	0.865523314
611	0.8653661053
612	0.8652479338
613	0.8651310092
614	0.8641730973
615	0.8639872431
616	0.8630011542
617	0.8624737096
618	0.8622575616
619	0.8621159379
620	0.8618395927
621	0.8605506017
622	0.8598636892
623	0.8593417762
624	0.858382966
625	0.8577366812
626	0.8568983307
627	0.8553937403
628	0.85526548
629	0.8540244981
630	0.8529363096
631	0.8519942531
632	0.8516926343
633	0.850674961
634	0.849498061
635	0.8489467799
636	0.8469697789
637	0.8460009305
638	0.8458285908
639	0.8457179354
640	0.8455242108
641	0.8453151933
642	0.8443069734
643	0.8434991529
644	0.843405854
645	0.8431476162
646	0.8417740444
647	0.8409372574
648	0.8399089395
649	0.8394313414
650	0.8377336973
651	0.8374037057
652	0.8369547061
653	0.8368507
654	0.8357367393
655	0.8342813392
656	0.8336575816
657	0.8330530622
658	0.8323008765
659	0.8318783083
660	0.8304895952
661	0.8299295226
662	0.828800773
663	0.8275879994
664	0.8269888966
665	0.8265175608
666	0.8253848889
667	0.8244743467
668	0.8243393945
669	0.8239847109
670	0.8228720985
671	0.8223827482
672	0.822111427
673	0.822009918
674	0.821442963
675	0.8209043465
676	0.8201431172
677	0.8195147055
678	0.8177800791
679	0.8176637357
680	0.8169762373
681	0.8165528379
682	0.8161135996
683	0.8149573545
684	0.8136690791
685	0.8125245046
686	0.8117428517
687	0.8112682428
688	0.810243817
689	0.8101461061
690	0.8091319652
691	0.808280898
692	0.8081484037
693	0.8079736615
694	0.8077774002
695	0.8066328291
696	0.8056221522
697	0.8051118086
698	0.8046160403
699	0.8036017556
700	0.8034156368
701	0.8032313968
702	0.8030030107
703	0.8024315449
704	0.8007796859
705	0.8006563247
706	0.8000301494
707	0.7995404027
708	0.7992318753
709	0.7988008174
710	0.7978046047
711	0.7972992461
712	0.796719975
713	0.7960526346
714	0.7957043992
715	0.7945640883
716	0.7940915819
717	0.7936534544
718	0.793016128
719	0.7925888272
720	0.7921054729
721	0.7912586643
722	0.7900803381
723	0.789087441
724	0.7886329394
725	0.7868539201
726	0.7859744271
727	0.7850690084
728	0.7842065282
729	0.7837092463
730	0.7830508609
731	0.7824174795
732	0.7823585213
733	0.7817218428
734	0.7808896963
735	0.7807203167
736	0.7801138346
737	0.7791142872
738	0.7786737064
739	0.7768252194
740	0.7756106468
741	0.7754923256
742	0.7753480547
743	0.7746498489
744	0.7738649943
745	0.7736420699
746	0.7726342614
747	0.7718844673
748	0.7714614387
749	0.7712580041
750	0.7712012042
751	0.770992274
752	0.7706062785
753	0.7705609798
754	0.7699602229
755	0.76899093
756	0.7685852417
757	0.7680407085
758	0.7678554155
759	0.7671784764
760	0.7669734784
761	0.7660298181
762	0.765468243
763	0.7651573184
764	0.7648393012
765	0.7647504543
766	0.7641849759
767	0.7636183827
768	0.7635393872
769	0.7634426759
770	0.7616513304
771	0.7614918
772	0.7609880137
773	0.7591893333
774	0.7585927845
775	0.7582793507
776	0.7581758168
777	0.7574952497
778	0.7567414231
779	0.7561915428
780	0.7555775387
781	0.7551964332
782	0.7549312112
783	0.7544507196
784	0.7538238879
785	0.7531867457
786	0.7523556675
787	0.7522157866
788	0.7514646978
789	0.7512986714
790	0.7505152416
791	0.7496288015
792	0.7492582701
793	0.7487991756
794	0.7479784009
795	0.7471901904
796	0.7463472653
797	0.7452949699
798	0.7451833228
799	0.7450403871
800	0.7444893292
801	0.7433257518
802	0.7425502664
803	0.7419140254
804	0.7415656042
805	0.7412163463
806	0.7410633668
807	0.7406485032
808	0.7404992421
809	0.7400023879
810	0.7398903408
811	0.7394700746
812	0.7385366674
813	0.7376218194
814	0.7374435266
815	0.7368784245
816	0.736430851
817	0.73602408
818	0.7353740202
819	0.7350459143
820	0.7341692489
821	0.7335397767
822	0.7324437621
823	0.7323801219
824	0.7317261585
825	0.7305263729
826	0.7302609362
827	0.7294562772
828	0.7293681734
829	0.7282080944
830	0.7272986675
831	0.7267661157
832	0.7258937623
833	0.7257040945
834	0.7255708188
835	0.7249453531
836	0.7246582026
837	0.7244991073
838	0.7243213606
839	0.7241875264
840	0.7238660156
841	0.7237016159
842	0.7232164374
843	0.7228130991
844	0.7218680171
845	0.7216098778
846	0.7209617243
847	0.7208354186
848	0.7202374025
849	0.7186777159
850	0.7181591483
851	0.7170737126
852	0.7164093542
853	0.7157844095
854	0.7156068346
855	0.7154030879
856	0.7144732729
857	0.7140788332
858	0.7132987776
859	0.7130991587
860	0.7125483232
861	0.7120165052
862	0.711900196
863	0.711375323
864	0.7112958803
865	0.7112091136
866	0.710171881
867	0.7098479044
868	0.7097809043
869	0.7093020059
870	0.7088871587
871	0.7087412784
872	0.7081755879
873	0.7078787658
874	0.7075470614
875	0.7074813524
876	0.7064342457
877	0.7060078573
878	0.7056136225
879	0.7051005465
880	0.7048018772
881	0.7042514935
882	0.7041624994
883	0.7039959067
884	0.7038344022
885	0.7033885851
886	0.7028603302
887	0.7022917032
888	0.7022146052
889	0.7017946637
890	0.7017297096
891	0.7013415156
892	0.7011861671
893	0.7010492576
894	0.7004941762
895	0.6999886134
896	0.6996042979
897	0.6994467685
898	0.6991875883
899	0.6990967333
900	0.6986433161
901	0.6983341117
902	0.6976525142
903	0.6969630794
904	0.6968154345
905	0.6967235943
906	0.6959998589
907	0.6949197057
908	0.6941782163
909	0.693699965
910	0.6936587684
911	0.6930498937
912	0.6926269566
913	0.6913477979
914	0.6909148001
915	0.6905234332
916	0.6897339563
917	0.6891092094
918	0.6886317373
919	0.687347609
920	0.6869161739
921	0.6864033332
922	0.6862701179
923	0.6862293764
924	0.6861936129
925	0.685859521
926	0.6856562453
927	0.685208087
928	0.6843485076
929	0.684029737
930	0.6837950392
931	0.6830333952
932	0.6816305383
933	0.6806914356
934	0.680016052
935	0.6798180805
936	0.6797492644
937	0.6793264433
938	0.6792895972
939	0.6787182275
940	0.6786488962
941	0.6784960373
942	0.6780203194
943	0.6779470412
944	0.6779126704
945	0.6776474861
946	0.6768499403
947	0.676599683
948	0.6765209293
949	0.6751827445
950	0.6749389025
951	0.6739756947
952	0.672894382
953	0.6726458862
954	0.6724948791
955	0.6718635907
956	0.6708993513
957	0.6705719375
958	0.6699175415
959	0.669050437
960	0.6680304604
961	0.6675450049
962	0.6668544731
963	0.6667701826
964	0.6663354814
965	0.6660646274
966	0.6656210547
967	0.6650637463
968	0.6645524671
969	0.6636116213
970	0.6634053546
971	0.6628987315
972	0.6622171291
973	0.6621309607
974	0.6617342277
975	0.6612799776
976	0.6608285029
977	0.6602305318
978	0.6601094261
979	0.6594485123
980	0.6588966291
981	0.6585214543
982	0.6579976791
983	0.6566459116
984	0.656570834
985	0.6561828373
986	0.6559503173
987	0.6554758493
988	0.6552132963
989	0.6544192649
990	0.6539010675
991	0.6536157097
992	0.6532046542
993	0.6527929436
994	0.6527088802
995	0.6522992383
996	0.6514143259
997	0.6510636762
998	0.6504979945
999	0.6502575388
