name,date,do,pred,error,stock,day_gap,money,evolution,opti_real,opti_pred
ferrovial,2024-01-02,33.69,33.3,-0.39000000000000057,2,,,,,
ferrovial,2024-01-03,33.85,33.67,-0.17999999999999972,2,0.1600000000000037,0.3200000000000074,100.32,,100.32
ferrovial,2024-01-04,34.28,33.83,-0.45000000000000284,2,0.4299999999999997,0.8599999999999994,101.18,,101.18
ferrovial,2024-01-05,34.34,34.26,-0.0800000000000054,2,0.060000000000002274,0.12000000000000455,101.3,,101.3
ferrovial,2024-01-08,34.77,34.32,-0.45000000000000284,2,0.4299999999999997,0.8599999999999994,102.16,,102.16
ferrovial,2024-01-09,34.91,34.76,-0.14999999999999858,2,0.13999999999999346,0.2799999999999869,102.44,,102.44
ferrovial,2024-01-10,34.96,34.9,-0.060000000000002274,2,0.05000000000000426,0.10000000000000853,102.54,,102.54
ferrovial,2024-01-11,34.51,34.95,0.44000000000000483,2,-0.45000000000000284,-0.9000000000000057,101.64,,101.64
ferrovial,2024-01-12,34.76,34.49,-0.269999999999996,2,0.25,0.5,102.14,,102.14
ferrovial,2024-01-15,34.63,34.75,0.11999999999999744,2,-0.12999999999999545,-0.2599999999999909,101.88,,101.88
ferrovial,2024-01-16,35.25,34.62,-0.6300000000000026,2,0.6199999999999974,1.2399999999999949,103.12,,103.12
ferrovial,2024-01-17,34.44,35.24,0.8000000000000043,2,-0.8100000000000023,-1.6200000000000045,101.5,,101.5
ferrovial,2024-01-18,34.9,34.42,-0.4799999999999969,2,0.46000000000000085,0.9200000000000017,102.42,,102.42
ferrovial,2024-01-19,35.08,34.89,-0.18999999999999773,2,0.17999999999999972,0.35999999999999943,102.78,,102.78
ferrovial,2024-01-22,35.53,35.07,-0.46000000000000085,2,0.45000000000000284,0.9000000000000057,103.68,,103.68
ferrovial,2024-01-23,35.29,35.53,0.240000000000002,2,-0.240000000000002,-0.480000000000004,103.2,,103.2
ferrovial,2024-01-24,35.57,35.28,-0.28999999999999915,2,0.28000000000000114,0.5600000000000023,103.76,,103.76
ferrovial,2024-01-25,35.41,35.57,0.1600000000000037,2,-0.1600000000000037,-0.3200000000000074,103.44,,103.44
ferrovial,2024-01-26,34.29,35.4,1.1099999999999994,2,-1.1199999999999974,-2.239999999999995,101.2,,101.2
ferrovial,2024-01-29,34.35,34.27,-0.0799999999999983,2,0.060000000000002274,0.12000000000000455,101.32,,101.32
ferrovial,2024-01-30,35.12,34.33,-0.7899999999999991,2,0.769999999999996,1.539999999999992,102.86,101.54,102.86
ferrovial,2024-01-31,35.52,35.11,-0.4100000000000037,2,0.4000000000000057,0.8000000000000114,103.66,102.34,103.66
ferrovial,2024-02-01,35.64,35.51,-0.13000000000000256,2,0.11999999999999744,0.23999999999999488,103.9,102.58,103.9
ferrovial,2024-02-02,35.65,35.64,-0.00999999999999801,2,0.00999999999999801,0.01999999999999602,103.92,102.6,103.92
ferrovial,2024-02-05,35.63,35.65,0.01999999999999602,2,-0.01999999999999602,-0.03999999999999204,103.88,102.56,103.88
ferrovial,2024-02-06,35.49,35.63,0.14000000000000057,2,-0.14000000000000057,-0.28000000000000114,103.6,102.28,103.6
ferrovial,2024-02-07,35.18,35.48,0.29999999999999716,2,-0.3100000000000023,-0.6200000000000045,102.98,101.66,102.98
ferrovial,2024-02-08,35.36,35.17,-0.18999999999999773,2,0.17999999999999972,0.35999999999999943,103.34,102.02,103.34
ferrovial,2024-02-09,35.4,35.35,-0.04999999999999716,2,0.03999999999999915,0.0799999999999983,103.42,102.1,103.42
ferrovial,2024-02-12,34.81,35.39,0.5799999999999983,2,-0.5899999999999963,-1.1799999999999926,102.24,100.92,102.24
ferrovial,2024-02-13,35.16,34.8,-0.35999999999999943,2,0.3499999999999943,0.6999999999999886,102.94,101.62,102.94
ferrovial,2024-02-14,35.5,35.15,-0.3500000000000014,2,0.3400000000000034,0.6800000000000068,103.62,102.3,103.62
ferrovial,2024-02-15,35.45,35.49,0.03999999999999915,2,-0.04999999999999716,-0.09999999999999432,103.52,102.2,103.52
ferrovial,2024-02-16,35.4,35.44,0.03999999999999915,2,-0.05000000000000426,-0.10000000000000853,103.42,102.1,103.42
ferrovial,2024-02-19,34.9,35.39,0.490000000000002,2,-0.5,-1.0,102.42,101.1,102.42
ferrovial,2024-02-20,35.0,34.89,-0.10999999999999943,2,0.10000000000000142,0.20000000000000284,102.62,101.3,102.62
ferrovial,2024-02-21,34.75,34.99,0.240000000000002,2,-0.25,-0.5,102.12,100.8,102.12
ferrovial,2024-02-22,34.45,34.74,0.28999999999999915,2,-0.29999999999999716,-0.5999999999999943,101.52,100.2,101.52
ferrovial,2024-02-23,34.65,34.44,-0.21000000000000085,2,0.19999999999999574,0.3999999999999915,101.92,100.6,101.92
ferrovial,2024-02-26,34.5,34.64,0.14000000000000057,2,-0.14999999999999858,-0.29999999999999716,101.62,100.3,101.62
