date,d-4,d-3,d-2,d-1,real,cate
2021-04-23,144.6,144.6,144.6,144.3,145.8,2
2021-04-24,144.6,144.6,144.3,145.8,144.5,1
2021-04-25,144.6,144.3,145.8,144.5,145.3,0
2021-04-26,144.3,145.8,144.5,145.3,144.7,0
2021-04-27,145.8,144.5,145.3,144.7,144.7,0
2021-04-28,144.5,145.3,144.7,144.7,144.7,0
2021-04-29,145.3,144.7,144.7,144.7,145.2,0
2021-04-30,144.7,144.7,144.7,145.2,138.6,1
2021-05-01,144.7,144.7,145.2,138.6,139.1,0
2021-05-02,144.7,145.2,138.6,139.1,136.0,1
2021-05-03,145.2,138.6,139.1,136.0,139.2,2
2021-05-04,138.6,139.1,136.0,139.2,139.2,0
2021-05-05,139.1,136.0,139.2,139.2,139.2,0
2021-05-06,136.0,139.2,139.2,139.2,139.1,0
2021-05-07,139.2,139.2,139.2,139.1,133.9,1
2021-05-08,139.2,139.2,139.1,133.9,131.2,1
2021-05-09,139.2,139.1,133.9,131.2,131.4,0
2021-05-10,139.1,133.9,131.2,131.4,135.5,2
2021-05-11,133.9,131.2,131.4,135.5,135.5,0
2021-05-12,131.2,131.4,135.5,135.5,135.5,0
2021-05-13,131.4,135.5,135.5,135.5,135.5,0
2021-05-14,135.5,135.5,135.5,135.5,136.7,2
2021-05-15,135.5,135.5,135.5,136.7,136.6,0
2021-05-16,135.5,135.5,136.7,136.6,137.6,0
2021-05-17,135.5,136.7,136.6,137.6,138.9,2
2021-05-18,136.7,136.6,137.6,138.9,138.9,0
2021-05-19,136.6,137.6,138.9,138.9,138.9,0
2021-05-20,137.6,138.9,138.9,138.9,138.9,0
2021-05-21,138.9,138.9,138.9,138.9,140.4,2
2021-05-22,138.9,138.9,138.9,140.4,142.3,2
2021-05-23,138.9,138.9,140.4,142.3,141.6,0
2021-05-24,138.9,140.4,142.3,141.6,142.3,0
2021-05-25,140.4,142.3,141.6,142.3,142.3,0
2021-05-26,142.3,141.6,142.3,142.3,142.3,0
2021-05-27,141.6,142.3,142.3,142.3,138.5,1
2021-05-28,142.3,142.3,142.3,138.5,137.2,1
2021-05-29,142.3,142.3,138.5,137.2,134.4,1
2021-05-30,142.3,138.5,137.2,134.4,133.9,0
2021-05-31,138.5,137.2,134.4,133.9,134.2,0
2021-06-01,137.2,134.4,133.9,134.2,134.2,0
2021-06-02,134.4,133.9,134.2,134.2,134.2,0
2021-06-03,133.9,134.2,134.2,134.2,136.9,2
2021-06-04,134.2,134.2,134.2,136.9,141.3,2
2021-06-05,134.2,134.2,136.9,141.3,134.9,1
2021-06-06,134.2,136.9,141.3,134.9,132.2,1
2021-06-07,136.9,141.3,134.9,132.2,131.1,1
2021-06-08,141.3,134.9,132.2,131.1,131.1,0
2021-06-09,134.9,132.2,131.1,131.1,131.1,0
2021-06-10,132.2,131.1,131.1,131.1,135.5,2
2021-06-11,131.1,131.1,131.1,135.5,135.8,0
2021-06-12,131.1,131.1,135.5,135.8,138.7,2
2021-06-13,131.1,135.5,135.8,138.7,137.8,0
2021-06-14,135.5,135.8,138.7,137.8,129.0,1
2021-06-15,135.8,138.7,137.8,129.0,129.0,0
2021-06-16,138.7,137.8,129.0,129.0,129.0,0
2021-06-17,137.8,129.0,129.0,129.0,126.9,1
2021-06-18,129.0,129.0,129.0,126.9,127.0,0
2021-06-19,129.0,129.0,126.9,127.0,125.6,1
2021-06-20,129.0,126.9,127.0,125.6,127.1,2
2021-06-21,126.9,127.0,125.6,127.1,127.0,0
2021-06-22,127.0,125.6,127.1,127.0,127.0,0
2021-06-23,125.6,127.1,127.0,127.0,127.0,0
2021-06-24,127.1,127.0,127.0,127.0,127.3,0
2021-06-25,127.0,127.0,127.0,127.3,128.0,0
2021-06-26,127.0,127.0,127.3,128.0,127.2,0
2021-06-27,127.0,127.3,128.0,127.2,129.1,2
2021-06-28,127.3,128.0,127.2,129.1,129.1,0
2021-06-29,128.0,127.2,129.1,129.1,129.1,0
2021-06-30,127.2,129.1,129.1,129.1,129.1,0
2021-07-01,129.1,129.1,129.1,129.1,124.1,1
2021-07-02,129.1,129.1,129.1,124.1,124.6,0
2021-07-03,129.1,129.1,124.1,124.6,127.6,2
2021-07-04,129.1,124.1,124.6,127.6,125.3,1
2021-07-05,124.1,124.6,127.6,125.3,127.3,2
2021-07-06,124.6,127.6,125.3,127.3,127.3,0
2021-07-07,127.6,125.3,127.3,127.3,127.3,0
2021-07-08,125.3,127.3,127.3,127.3,128.1,0
2021-07-09,127.3,127.3,127.3,128.1,128.5,0
2021-07-10,127.3,127.3,128.1,128.5,127.1,1
2021-07-11,127.3,128.1,128.5,127.1,126.0,1
2021-07-12,128.1,128.5,127.1,126.0,126.5,0
2021-07-13,128.5,127.1,126.0,126.5,126.5,0
2021-07-14,127.1,126.0,126.5,126.5,126.5,0
2021-07-15,126.0,126.5,126.5,126.5,124.6,1
2021-07-16,126.5,126.5,126.5,124.6,126.2,2
2021-07-17,126.5,126.5,124.6,126.2,128.8,2
2021-07-18,126.5,124.6,126.2,128.8,129.3,0
2021-07-19,124.6,126.2,128.8,129.3,131.7,2
2021-07-20,126.2,128.8,129.3,131.7,131.7,0
2021-07-21,128.8,129.3,131.7,131.7,131.7,0
2021-07-22,129.3,131.7,131.7,131.7,132.2,0
2021-07-23,131.7,131.7,131.7,132.2,130.4,1
2021-07-24,131.7,131.7,132.2,130.4,131.1,0
2021-07-25,131.7,132.2,130.4,131.1,132.9,2
2021-07-26,132.2,130.4,131.1,132.9,128.9,1
2021-07-27,130.4,131.1,132.9,128.9,128.9,0
2021-07-28,131.1,132.9,128.9,128.9,128.9,0
2021-07-29,132.9,128.9,128.9,128.9,129.6,0
2021-07-30,128.9,128.9,128.9,129.6,128.1,1
2021-07-31,128.9,128.9,129.6,128.1,131.0,2
2021-08-01,128.9,129.6,128.1,131.0,131.7,0
2021-08-02,129.6,128.1,131.0,131.7,130.3,1
2021-08-03,128.1,131.0,131.7,130.3,130.3,0
2021-08-04,131.0,131.7,130.3,130.3,130.3,0
2021-08-05,131.7,130.3,130.3,130.3,133.4,2
2021-08-06,130.3,130.3,130.3,133.4,135.7,2
2021-08-07,130.3,130.3,133.4,135.7,135.9,0
2021-08-08,130.3,133.4,135.7,135.9,136.5,0
2021-08-09,133.4,135.7,135.9,136.5,137.9,2
2021-08-10,135.7,135.9,136.5,137.9,137.9,0
2021-08-11,135.9,136.5,137.9,137.9,137.9,0
2021-08-12,136.5,137.9,137.9,137.9,138.2,0
2021-08-13,137.9,137.9,137.9,138.2,137.6,0
2021-08-14,137.9,137.9,138.2,137.6,140.8,2
2021-08-15,137.9,138.2,137.6,140.8,140.0,0
2021-08-16,138.2,137.6,140.8,140.0,139.4,0
2021-08-17,137.6,140.8,140.0,139.4,139.4,0
2021-08-18,140.8,140.0,139.4,139.4,139.4,0
2021-08-19,140.0,139.4,139.4,139.4,140.9,2
2021-08-20,139.4,139.4,139.4,140.9,140.9,0
2021-08-21,139.4,139.4,140.9,140.9,140.1,0
2021-08-22,139.4,140.9,140.9,140.1,136.9,1
2021-08-23,140.9,140.9,140.1,136.9,137.4,0
2021-08-24,140.9,140.1,136.9,137.4,137.4,0
2021-08-25,140.1,136.9,137.4,137.4,137.4,0
2021-08-26,136.9,137.4,137.4,137.4,138.1,0
2021-08-27,137.4,137.4,137.4,138.1,137.6,0
2021-08-28,137.4,137.4,138.1,137.6,139.9,2
2021-08-29,137.4,138.1,137.6,139.9,141.9,2
2021-08-30,138.1,137.6,139.9,141.9,141.2,0
2021-08-31,137.6,139.9,141.9,141.2,141.2,0
2021-09-01,139.9,141.9,141.2,141.2,141.2,0
2021-09-02,141.9,141.2,141.2,141.2,140.9,0
2021-09-03,141.2,141.2,141.2,140.9,139.9,1
2021-09-04,141.2,141.2,140.9,139.9,141.3,2
2021-09-05,141.2,140.9,139.9,141.3,143.2,2
2021-09-06,140.9,139.9,141.3,143.2,144.0,0
2021-09-07,139.9,141.3,143.2,144.0,144.0,0
2021-09-08,141.3,143.2,144.0,144.0,144.0,0
2021-09-09,143.2,144.0,144.0,144.0,146.9,2
2021-09-10,144.0,144.0,144.0,146.9,147.8,0
2021-09-11,144.0,144.0,146.9,147.8,146.7,1
2021-09-12,144.0,146.9,147.8,146.7,140.3,1
2021-09-13,146.9,147.8,146.7,140.3,144.1,2
2021-09-14,147.8,146.7,140.3,144.1,144.1,0
2021-09-15,146.7,140.3,144.1,144.1,144.1,0
2021-09-16,140.3,144.1,144.1,144.1,139.5,1
2021-09-17,144.1,144.1,144.1,139.5,144.7,2
2021-09-18,144.1,144.1,139.5,144.7,144.6,0
2021-09-19,144.1,139.5,144.7,144.6,145.8,2
2021-09-20,139.5,144.7,144.6,145.8,147.5,2
2021-09-21,144.7,144.6,145.8,147.5,147.5,0
2021-09-22,144.6,145.8,147.5,147.5,147.5,0
2021-09-23,145.8,147.5,147.5,147.5,148.8,2
2021-09-24,147.5,147.5,147.5,148.8,143.1,1
2021-09-25,147.5,147.5,148.8,143.1,144.7,2
2021-09-26,147.5,148.8,143.1,144.7,143.2,1
2021-09-27,148.8,143.1,144.7,143.2,143.3,0
2021-09-28,143.1,144.7,143.2,143.3,143.3,0
2021-09-29,144.7,143.2,143.3,143.3,143.3,0
2021-09-30,143.2,143.3,143.3,143.3,142.2,1
2021-10-01,143.3,143.3,143.3,142.2,141.9,0
2021-10-02,143.3,143.3,142.2,141.9,140.9,1
2021-10-03,143.3,142.2,141.9,140.9,143.3,2
2021-10-04,142.2,141.9,140.9,143.3,144.2,0
2021-10-05,141.9,140.9,143.3,144.2,144.2,0
2021-10-06,140.9,143.3,144.2,144.2,144.2,0
2021-10-07,143.3,144.2,144.2,144.2,141.7,1
2021-10-08,144.2,144.2,144.2,141.7,145.3,2
2021-10-09,144.2,144.2,141.7,145.3,147.9,2
